"hi, how are you doing?",i'm fine. how about yourself?
i'm fine. how about yourself?,i'm pretty good. thanks for asking.
i'm pretty good. thanks for asking.,no problem. so how have you been?
no problem. so how have you been?,i've been great. what about you?
i've been great. what about you?,i've been good. i'm in school right now.
i've been good. i'm in school right now.,what school do you go to?
what school do you go to?,i go to pcc.
i go to pcc.,do you like it there?
do you like it there?,it's okay. it's a really big campus.
it's okay. it's a really big campus.,good luck with school.
good luck with school.,thank you very much.
how's it going?,i'm doing well. how about you?
i'm doing well. how about you?,"never better, thanks."
"never better, thanks.",so how have you been lately?
so how have you been lately?,i've actually been pretty good. you?
i've actually been pretty good. you?,i'm actually in school right now.
i'm actually in school right now.,which school do you attend?
which school do you attend?,i'm attending pcc right now.
i'm attending pcc right now.,are you enjoying it there?
are you enjoying it there?,it's not bad. there are a lot of people there.
it's not bad. there are a lot of people there.,good luck with that.
good luck with that.,thanks.
how are you doing today?,i'm doing great. what about you?
i'm doing great. what about you?,"i'm absolutely lovely, thank you."
"i'm absolutely lovely, thank you.",everything's been good with you?
everything's been good with you?,i haven't been better. how about yourself?
i haven't been better. how about yourself?,i started school recently.
i started school recently.,where are you going to school?
where are you going to school?,i'm going to pcc.
i'm going to pcc.,how do you like it so far?
how do you like it so far?,i like it so far. my classes are pretty good right now.
i like it so far. my classes are pretty good right now.,i wish you luck.
it's an ugly day today.,i know. i think it may rain.
i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today."
"it's the middle of summer, it shouldn't rain today.",that would be weird.
that would be weird.,"yeah, especially since it's ninety degrees outside."
"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside."
"i know, it would be horrible if it rained and it was hot outside.","yes, it would be."
"yes, it would be. ",i really wish it wasn't so hot every day.
i really wish it wasn't so hot every day. ,me too. i can't wait until winter.
me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold."
"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.
i'd rather be cold than hot.,me too.
it doesn't look very nice outside today.,you're right. i think it's going to rain later.
you're right. i think it's going to rain later.,"in the middle of the summer, it shouldn't be raining."
"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.
that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird."
"considering that it's over ninety degrees outside, that would be weird.","exactly, it wouldn't be nice if it started raining. it's too hot."
"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right."
"i know, you're absolutely right.",i wish it would cool off one day.
i wish it would cool off one day.,"that's how i feel, i want winter to come soon."
"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes."
"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot."
"i know what you mean, but i'd rather be cold than hot.",that's exactly how i feel.
i wish it was a nicer day today.,that is true. i hope it doesn't rain.
that is true. i hope it doesn't rain.,it wouldn't rain in the middle of the summer.
it wouldn't rain in the middle of the summer.,it wouldn't seem right if it started raining right now.
it wouldn't seem right if it started raining right now.,it would be weird if it started raining in ninety degree weather.
it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.
any rain right now would be pointless.,"that's right, it really would be."
"that's right, it really would be.",i want it to cool down some.
i want it to cool down some.,"i know what you mean, i can't wait until it's winter."
"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.
winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.
it's such a nice day.,"yes, it is."
"yes, it is.",it looks like it may rain soon.
it looks like it may rain soon.,"yes, and i hope that it does."
"yes, and i hope that it does.",why is that?
why is that?,i really love how rain clears the air.
i really love how rain clears the air.,me too. it always smells so fresh after it rains.
me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains."
"yes, but i love the night air after it rains.",really? why is it?
really? why is it?,because you can see the stars perfectly.
because you can see the stars perfectly.,i really hope it rains today.
i really hope it rains today.,"yeah, me too."
isn't it a nice day?,it really is.
it really is.,it seems that it may rain today.
it seems that it may rain today.,hopefully it will.
hopefully it will.,how come?
how come?,i like how clear the sky gets after it rains.
i like how clear the sky gets after it rains.,i feel the same way. it smells so good after it rains.
i feel the same way. it smells so good after it rains.,i especially love the night air when it rains.
i especially love the night air when it rains.,really? why?
really? why?,the stars look so much closer after it rains.
the stars look so much closer after it rains.,i really want it to rain today.
i really want it to rain today.,"yeah, so do i."
don't you think it's nice out?,"yes, i think so too."
"yes, i think so too.",i think that it's going to rain.
i think that it's going to rain.,i hope that it does rain.
i hope that it does rain.,you like the rain?
you like the rain?,the sky looks so clean after it rains. i love it.
the sky looks so clean after it rains. i love it.,i understand. rain does make it smell cleaner.
i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.
i love most how it is at night after it rains.,how come?
how come?,you can see the stars so much more clearly after it rains.
you can see the stars so much more clearly after it rains.,i would love for it to rain today.
i really want to go to the beach this weekend.,that sounds like fun. what's the weather going to be like?
that sounds like fun. what's the weather going to be like?,i heard that it's going to be warm this weekend.
i heard that it's going to be warm this weekend.,is it going to be perfect beach weather?
is it going to be perfect beach weather?,i believe so.
i believe so.,good. i hope it doesn't cool off this weekend.
good. i hope it doesn't cool off this weekend.,i know. i really want to go to the beach.
i know. i really want to go to the beach.,but you know that california weather is really unpredictable.
but you know that california weather is really unpredictable.,"you're right. one minute it's hot, and then the next minute it's cold."
"you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.
i really wish the weather would just stay the same.,i do too. that way we can have our activities planned ahead of time.
i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier."
i would like to take a trip to the beach this weekend.,a trip to the beach would be fun. how is the weather going to be?
a trip to the beach would be fun. how is the weather going to be?,the forecast says that it will be warm on the weekend.
the forecast says that it will be warm on the weekend.,so do you think it'll be perfect weather for the beach?
so do you think it'll be perfect weather for the beach?,it sounds like it will be.
it sounds like it will be.,i really hope it doesn't get cold.
i really hope it doesn't get cold.,"that would ruin things, i want to go so badly."
"that would ruin things, i want to go so badly.","the weather in california is unpredictable, so you never know."
"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.
that is true. the weather is constantly changing.,it would be nice if the weather would never change.
it would be nice if the weather would never change.,"that would be great, then we could plan things sooner."
"that would be great, then we could plan things sooner.",true. predictable weather would make life easier.
it would be nice to go to the beach sometime this weekend.,what's the weather going to be like? i may want to go too.
what's the weather going to be like? i may want to go too.,the weather this weekend is supposed to be warm.
the weather this weekend is supposed to be warm.,will it be good beach weather?
will it be good beach weather?,i think it will be.
i think it will be.,it wouldn't be good if it got cold this weekend.
it wouldn't be good if it got cold this weekend.,"i want this trip to be perfect, i hope it stays warm."
"i want this trip to be perfect, i hope it stays warm.","this california weather is so uncertain, it's impossible to know what'll happen."
"this california weather is so uncertain, it's impossible to know what'll happen.",i know. every day the weather seems different.
i know. every day the weather seems different.,i would love it if it wasn't always so unpredictable.
i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.
"hello, may i speak to alice please?",this is she. how's it going?
this is she. how's it going?,i've been trying to call you all day.
i've been trying to call you all day.,sorry about that. i was cleaning up.
sorry about that. i was cleaning up.,it's okay.
it's okay.,so what were you calling me about?
so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow."
"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?"
"sure, what did you want to do?",maybe we can go see a movie or something.
maybe we can go see a movie or something.,that sounds like fun. let's do it.
that sounds like fun. let's do it.,i'll see you tomorrow then.
i'll see you tomorrow then.,see you then. goodbye.
"hi, how are you. is alice there?",speaking. what's up?
speaking. what's up?,why haven't you answered the phone?
why haven't you answered the phone?,"my bad, i had chores to do."
"my bad, i had chores to do.",that's all right.
that's all right.,what was the reason for your call?
what was the reason for your call?,i want to do something tomorrow with you.
i want to do something tomorrow with you.,sounds good. what did you have in mind?
sounds good. what did you have in mind?,i was thinking about seeing a movie.
i was thinking about seeing a movie.,"okay, let's go see a movie."
"okay, let's go see a movie.",until then.
until then.,talk to you later.
is alice available?,you're talking to her.
you're talking to her.,i've called you a hundred times today.
i've called you a hundred times today.,i was busy doing something. i apologize.
i was busy doing something. i apologize.,no problem.
no problem.,did you need something?
did you need something?,do you want to do something tomorrow?
do you want to do something tomorrow?,is there somewhere special you wanted to go?
is there somewhere special you wanted to go?,how about a movie?
how about a movie?,a movie sounds good.
a movie sounds good.,call me tomorrow then.
have you seen the new girl in school?,"no, i haven't."
"no, i haven't.",she's really pretty.
she's really pretty.,describe her to me.
describe her to me.,she's not too tall.
she's not too tall.,"well, how tall is she?"
"well, how tall is she?",she's about five feet even.
she's about five feet even.,"what does she look like, though?"
"what does she look like, though?",she has pretty light brown eyes.
